secucode,total_volume,total_trades,big_buy_non_big_sell,non_big_buy_big_sell,big_buy_big_sell,long_buy_non_long_sell,non_long_buy_long_sell,long_buy_long_sell,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1,验证_VolumeLongBig,验证_VolumeBigOrigin,订单类型总和
002803,17615057,29590,0.22776979943919567,0.1551009457420433,0.43592160956390885,0.24164639376415303,0.24603780731450373,0.03209969743498417,1.2547139643090568,0.05305086438266987,0.551883595948625,0.6049344603312949,0.08848116699253372,0.09897861812198508,0.04005471001314387,0.03951886161935213,0.0026554555003710746,0.05766135187640892,0.08897024857767988,0.005943097430794575,0.0025262478571599287,0.12054505415452246,0.00900343382368845,0.09615069653194991,0.002070614929034859,0.20303107733344264,0.10800941489999152,0.10003373818205641,0.02484737914841831,0.6049344603312949,1.2547139643090568,0.9999999999999999
002825,18470292,28475,0.21622478951605095,0.2006979640603408,0.44448701731407386,0.3154890566971004,0.2546163319995158,0.02680807645055097,1.3058967882045396,0.027564263737682115,0.6237215415977182,0.6512858053354003,0.09052609455226805,0.06701518308427393,0.03300651662680806,0.03641485472996312,0.002153674668489269,0.09303496663723562,0.09968174839899661,0.006191889115775755,0.0017893599083327973,0.07574904608979652,0.01058109963827318,0.1267336217532457,0.0031610220347355633,0.1672873390415268,0.1113469673354379,0.14614869109811582,0.01970401983899334,0.6512858053354003,1.3058967882045396,1.0
002830,2603600,6652,0.15835765862651713,0.1861269012137041,0.3993701029343985,0.1862805346443386,0.19811030880319558,0.022315255799662006,1.1432247657090182,0.054885543094177314,0.4290213550468582,0.4839068981410355,0.06011676140728221,0.1582040251958826,0.04424642802273775,0.04946996466431095,0.004224919342448917,0.10243508987555693,0.07432017206944232,0.007259179597480412,0.0021124596712244585,0.07977415885696727,0.005569211860500845,0.07021047779996928,0.0028038101090797356,0.252880626824397,0.07397449685051467,0.05934091258257797,0.013174066676908895,0.4839068981410355,1.1432247657090182,1.0
002920,4324725,16783,0.17995386989924214,0.21590182034695848,0.3469235616137442,0.24814895744816146,0.28875500754383226,0.047756100098850215,1.089702813473689,-0.048932128632456384,0.6324161651896942,0.5834840365572378,0.08096736786732103,0.14784107660024626,0.055431732653521325,0.04867361508535225,0.00527432380093532,0.09966691523738504,0.10513639595581221,0.006842053540976594,0.004256455612784628,0.060304412419286774,0.006306759389325333,0.1076544751400378,0.005688222950592234,0.10752753065223801,0.12188011954517339,0.0849788136817948,0.032537097734538035,0.5834840365572378,1.089702813473689,1.0
002972,4866536,8484,0.19175980615369947,0.136200780185331,0.46217145008276933,0.2663750971943904,0.19616293807340582,0.01945654979229579,1.252303486504569,0.13421086374373886,0.5014511348523878,0.6356619985961267,0.07218308875142401,0.1256589902961778,0.041881946419383316,0.03965161256384418,0.0026754142987948717,0.07294058854182935,0.05758387485472213,0.004874925408956185,0.0008013913798233487,0.0802829774607647,0.006817991277574028,0.10209027530054232,0.002568562114818425,0.2391228586411361,0.08987912552172633,0.11975828392104775,0.013411181998859148,0.6356619985961267,1.252303486504569,0.9999999999999999
300009,11295736,10829,0.1667006913051084,0.26939041422356186,0.43478406365021277,0.3279526008752329,0.2484217053231414,0.011510803722749895,1.305659232829096,-0.0013070418784574822,0.5993959136438741,0.5980888717654167,0.08889124179247816,0.05837955136345255,0.032329013355127986,0.03805860901848273,0.00035765708405366414,0.1294388431174383,0.12017100966240712,0.018977072410332536,0.0008034890333839246,0.05689881562387789,0.004429370516449747,0.1046424066568128,0.0007300985079679624,0.16739767997410704,0.09149231178915655,0.16627451278960487,0.009619559097344342,0.5980888717654167,1.305659232829096,1.0
300022,8146800,6884,0.1577799872342515,0.24635451956596455,0.4861415525114155,0.3363774733637747,0.19383070653508125,0.07579663180635342,1.376417611823047,0.08200704571119949,0.6818014435115628,0.7638084892227623,0.09906466342613049,0.06462647910836157,0.017896597437030492,0.026501202926302352,0.0006996612166740315,0.12800130112436786,0.0994132665586488,0.014631511759218344,0.004308440123729562,0.05556795306132469,0.002123533166396622,0.09933974075710708,0.0007487602494230864,0.1457994550007365,0.07439730937300536,0.19590501792114695,0.07003977021652673,0.7638084892227623,1.376417611823047,1.0
300037,15172866,42342,0.17436428951524385,0.23771718540188783,0.3797652335425621,0.28568472166036396,0.26247203395851515,0.03623758359165632,1.1716119420022557,-0.032316241374569565,0.6206319228021917,0.5883156814276221,0.08124453218001135,0.11606857926511709,0.04029383769684646,0.04933062745034458,0.0024602471279980987,0.1263866694664014,0.10081912013195134,0.008010879421198342,0.002500516382336732,0.04939435964174468,0.007755884748471383,0.11303052435841719,0.004183520766610606,0.1237560524162014,0.11360319138124597,0.11531269043040385,0.02709329931471088,0.5883156814276221,1.1716119420022557,0.9999999999999999
300050,10616395,12582,0.19792066892763505,0.22554737271927053,0.43293415514400135,0.27921040993670637,0.21926426060823848,0.009089337764843905,1.2893363519349084,0.009466113497095807,0.5166533460746326,0.5261194595717285,0.0784183331535799,0.06943844873895517,0.03244943316445931,0.04084371389723159,0.0008662074084470294,0.13409533085383504,0.07649489304043416,0.01373262769518278,0.0012245211298185495,0.08578241484044254,0.008364421255991322,0.10304853954661634,0.0007252932845848331,0.20311979725697848,0.1019555131473537,0.12158552879767567,0.0062733159419934926,0.5261194595717285,1.2893363519349084,1.0
300115,162561490,320685,0.1863650363933057,0.21868112183272925,0.4387246942679967,0.27597291953955394,0.2996430704467583,0.024004282933184237,1.2824955467620285,0.03367853604196175,0.6236245558526807,0.6573030918946425,0.10055709627169387,0.07918277569921388,0.03685418360769208,0.03854705071908482,0.0016451374799775764,0.08920753617600331,0.1158527766939144,0.011492192892670951,0.002128616070140597,0.09009871280092228,0.007055551717691564,0.08760871962972289,0.0016020522449689653,0.14189070240436402,0.13988055842746028,0.13832495629807526,0.018628477138097097,0.6573030918946425,1.2824955467620285,1.0
300265,11282900,15087,0.19983514876494518,0.19570624573469586,0.4405279671006567,0.2606810305861082,0.2860879738365137,0.02079385618945484,1.2765973287009544,0.044986572601015684,0.5883567168015316,0.6333432894025472,0.0921279635554689,0.07992714638966933,0.03788050944349414,0.04514672646216841,0.0009762561043703303,0.07184748601866542,0.11307261431015075,0.008458375063148659,0.0023277703427310357,0.09385087167306277,0.008982265197777168,0.09586755178190004,0.0011344601122051956,0.1868116353065258,0.1261525848850916,0.11120837727889106,0.01635536963014828,0.6333432894025472,1.2765973287009544,1.0
300271,33992299,32609,0.16309394077758613,0.25584068320886444,0.44028990213342145,0.239557877506314,0.27199619537354625,0.023331196280663453,1.2995144282532936,0.021355278146970913,0.5582164654411871,0.579571743588158,0.09656316567467237,0.08518650062474445,0.022642540300083853,0.032282106014659376,0.0006643269406402903,0.09683322684352712,0.1314254737521578,0.023671626329245927,0.003910356283933605,0.09709772792949367,0.003541155012786867,0.06219988239100862,0.00025517544429695676,0.18599727544171107,0.1143870263085177,0.12140426277140008,0.0185013376117926,0.579571743588158,1.2995144282532936,1.0
300383,39518155,32963,0.19486031167193915,0.24512417140931808,0.4118115585102594,0.2666644735818259,0.23820967856419412,0.011172459847885105,1.2636076001017762,-0.028172924570997848,0.5272190718417903,0.49904614727079244,0.08261995024818339,0.07244401971701361,0.03921195207620396,0.03569379693965976,0.00085418967560606,0.1366487377763461,0.09196927336309096,0.014522641555507842,0.0019835187143731788,0.09208977494015093,0.007170248712269082,0.09448143517833765,0.0011188528411814772,0.1827708555725843,0.09985820441263009,0.12196659990832062,0.007215898616724389,0.49904614727079244,1.2636076001017762,0.9999999999999999
300436,8188400,30667,0.20573005715402276,0.20754970445996776,0.30819207659616044,0.30903534267988864,0.2104318303942162,0.02449745982121049,1.0296639148063114,-0.10508768501783006,0.5684620927165258,0.46337440769869576,0.06647452493771676,0.16892188950222264,0.059388891602755116,0.047189316594206436,0.003028064090664843,0.12499389380098676,0.0737750964779444,0.007205314835621123,0.0015753993454154659,0.05626251770797714,0.010441600312637389,0.13243124419911093,0.006594694934297298,0.10585706609349813,0.06682624200087929,0.12220946705095012,0.013299301450832886,0.46337440769869576,1.0296639148063114,1.0
300443,6732250,21627,0.17762397415425749,0.20466545360020796,0.3643493631401092,0.24583311671432284,0.2721540346837981,0.021031601619072377,1.1109881540346838,-0.017940064614356266,0.5600503546362656,0.5421102900219094,0.08180623120056443,0.16079037468899698,0.03872405213710127,0.05237624865386758,0.0014705336254595418,0.07608303316127595,0.1179782390731182,0.007633554903635486,0.002970626462178321,0.07540569646106428,0.004523004938913439,0.09661836681644324,0.001076905937836533,0.14870214267146942,0.11092873853466523,0.08920494634037654,0.01551353559359798,0.5421102900219094,1.1109881540346838,1.0
300476,33896766,164523,0.23525725138498463,0.18273687230221314,0.3437885490314917,0.26263201628143523,0.24951713682656335,0.01958903690104242,1.1055712217501812,-0.0742055746557061,0.5513272269100834,0.4771216522543773,0.08884525444108739,0.15063864794653273,0.040179172254957894,0.04596479793972086,0.0014347091400990879,0.08538242261813413,0.08773462341510692,0.007702062196729918,0.001917764072242172,0.12247191959256526,0.006755806733893139,0.10455136044541831,0.001478164613107929,0.10976881983372691,0.1148475344226054,0.10441379569956614,0.01475839907559323,0.4771216522543773,1.1055712217501812,0.9999999999999999
300541,9338299,11503,0.164747027269099,0.2564267860774216,0.43107882923860114,0.2853821664952043,0.2948713679011563,0.03885889710749249,1.2833314718237228,0.009905015892080538,0.6579713286113456,0.6678763445034261,0.099128974131156,0.07587805873425128,0.034675908321204964,0.035980535641448194,0.001212854717973798,0.11474648648538668,0.12514227698213562,0.012585482645179813,0.0039525399647194846,0.06484339385577609,0.00544242586363962,0.092429788337255,0.002031419212428302,0.12541962942073284,0.1296107567341761,0.1443863598713213,0.031662083212370906,0.6678763445034261,1.2833314718237228,1.0
300599,4712047,7306,0.17773676705686509,0.20675748777548272,0.467715198935834,0.3378881832036056,0.24034140576271842,0.019407913376076256,1.3199246527040158,0.08322094410348624,0.6170454157184766,0.7002663598219628,0.09354554400667056,0.07178430096304218,0.0322469194386219,0.041838504581978915,0.001920821248175156,0.11328409924603892,0.08330795512014205,0.008658657267213167,0.0015067761420885658,0.06699933171294768,0.010908210380753841,0.09711278346756728,0.0027164414955962875,0.15029476573557096,0.11387832082320062,0.1902782378868462,0.013263874490216248,0.7002663598219628,1.3199246527040158,0.9999999999999999
300892,5571963,14622,0.189344401604964,0.1977093171652432,0.36014488969147856,0.211418130378827,0.2752530840567319,0.030258635960073676,1.1073434981531642,-0.026908829078728658,0.5471884863557063,0.5202796572769777,0.07831114456431243,0.15043172397232357,0.045172589983099316,0.05283595745341453,0.004361120129476811,0.0789899358628189,0.10744866755217147,0.00791462542016162,0.0033560883300912084,0.08880532767356854,0.008668399269700821,0.08837101036026263,0.0034996643014320087,0.16484316209565641,0.11396342725176029,0.06229653714498822,0.019041763199073646,0.5202796572769777,1.1073434981531642,1.0
300904,1562200,7793,0.1627832543848419,0.190052490078095,0.2836384585840481,0.22231468441940852,0.2504160798873384,0.025988989886058123,0.9201126616310331,-0.06919728587888874,0.5247087440788631,0.4555114581999744,0.061720650364870046,0.24516707207783894,0.06337216745615158,0.051913967481756494,0.0030725899372679557,0.10715657406221994,0.07611061323774165,0.005184995519139675,0.0016003072589937269,0.04890538983484829,0.008641659198566125,0.10158750480092178,0.003648700550505697,0.1000512098322878,0.10229163999487902,0.06362821661759058,0.017667392139290743,0.4555114581999744,0.9201126616310331,0.9999999999999999
300919,9430840,25836,0.14463918378426524,0.24309700938622647,0.39971529577428944,0.2804861496961034,0.3053883853400121,0.030633538475893982,1.1871667847190706,0.011979102603797753,0.6471416119879035,0.6591207145917013,0.08885918963740239,0.11647223365044895,0.04290370741100474,0.05030633538475894,0.0028662346090061967,0.09874412035407239,0.1312959397042045,0.009566274054060932,0.003490675273888646,0.04078014259599357,0.005174512556675758,0.0956137523274703,0.0030707763041256135,0.12749542988747556,0.12601422566812712,0.12499978792981326,0.021205852288873527,0.6591207145917013,1.1871667847190706,0.9999999999999999
300989,4461088,8784,0.1671341161617973,0.16821412175684497,0.49624665552439223,0.21410920385340976,0.31453537791677727,0.04248739320990754,1.3278415489674267,0.16089841760574997,0.6136193681900021,0.774517785795752,0.09845176781986816,0.10502146561556285,0.02195876880258807,0.03978625841947077,0.0016386137193438012,0.06155628402757354,0.0903613647612421,0.012104670430173088,0.004191802537856236,0.08397054709523775,0.0035865690163475817,0.07833739213393684,0.0012396079162751328,0.1783197282815313,0.1986286753365995,0.08388088286982906,0.03541736903643237,0.774517785795752,1.3278415489674267,0.9999999999999999
